1. 教科及び教科の指導法に関する科目  (9) 芸術学部　デザイン工学科　①免許種: 中学校教諭一種免許状（美術）、高等学校教諭一種免許状（美術）,,,,,,,
免許法施行規則に定める科目区分等,免許法施行規則に定める科目区分等,免許法施行規則に定める科目区分等,左記に対応する本学に開設授業科目,左記に対応する本学に開設授業科目,,,
科目区分,各科目に含めることが必要な事項,最低取得単位数,授業科目名,単位数,中一種免,高一種免,備考
教科に関する専門的事項,絵画（映像メディア表現を含む）,中一種免28単位　高一種免24単位,描出実習Ⅰ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら42ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,絵画（映像メディア表現を含む）,中一種免28単位　高一種免24単位,描出実習Ⅱ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら43ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,彫刻,中一種免28単位　高一種免24単位,形体演習Ⅰ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら57ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,彫刻,中一種免28単位　高一種免24単位,形体演習Ⅱ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら58ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,デザイン(映像メディア表現を含む。),中一種免28単位　高一種免24単位,造形実習ⅠA,4,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら59ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,デザイン(映像メディア表現を含む。),中一種免28単位　高一種免24単位,造形実習ⅠB,4,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら60ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,デザイン(映像メディア表現を含む。),中一種免28単位　高一種免24単位,造形実習ⅢB,6,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら61ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,美術理論・美術史(鑑賞並びに日本の伝統美術およびアジアの美術を含む。),中一種免28単位　高一種免24単位,美学Ⅰ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら67ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,美術理論・美術史(鑑賞並びに日本の伝統美術およびアジアの美術を含む。),中一種免28単位　高一種免24単位,美学Ⅱ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら68ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,美術理論・美術史(鑑賞並びに日本の伝統美術およびアジアの美術を含む。),中一種免28単位　高一種免24単位,日本美術史Ⅰ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら69ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,美術理論・美術史(鑑賞並びに日本の伝統美術およびアジアの美術を含む。),中一種免28単位　高一種免24単位,日本美術史Ⅱ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら70ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,美術理論・美術史(鑑賞並びに日本の伝統美術およびアジアの美術を含む。),中一種免28単位　高一種免24単位,東洋美術史Ⅰ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら71ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,美術理論・美術史(鑑賞並びに日本の伝統美術およびアジアの美術を含む。),中一種免28単位　高一種免24単位,東洋美術史Ⅱ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら72ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,美術理論・美術史(鑑賞並びに日本の伝統美術およびアジアの美術を含む。),中一種免28単位　高一種免24単位,西洋美術史Ⅰ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら73ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,美術理論・美術史(鑑賞並びに日本の伝統美術およびアジアの美術を含む。),中一種免28単位　高一種免24単位,西洋美術史Ⅱ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら74ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,美術理論・美術史(鑑賞並びに日本の伝統美術およびアジアの美術を含む。),中一種免28単位　高一種免24単位,美術解剖学Ⅰ,2,●,●,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら75ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,美術理論・美術史(鑑賞並びに日本の伝統美術およびアジアの美術を含む。),中一種免28単位　高一種免24単位,美術解剖学Ⅱ,2,●,●,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら76ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,工芸,中一種免28単位　高一種免24単位,造形実習ⅡA,6,○,なし,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら77ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,工芸,中一種免28単位　高一種免24単位,造形実習ⅡB,6,○,なし,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら78ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,工芸,中一種免28単位　高一種免24単位,造形実習ⅢA,6,○,なし,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら79ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,工芸,中一種免28単位　高一種免24単位,造形研究(演習),12,○,なし,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら80ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,工芸,中一種免28単位　高一種免24単位,材料技法演習(木工),1,●,なし,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら71ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,工芸,中一種免28単位　高一種免24単位,材料技法演習(塗装),1,●,なし,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら72ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,工芸,中一種免28単位　高一種免24単位,工芸制作B(演習),2,●,なし,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら73ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
,各教科の指導法(情報機器及び教材の活用を含む。),中一種免28単位　高一種免24単位,教科教育法（美術）AⅠ,2,○,●,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら74ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
,各教科の指導法(情報機器及び教材の活用を含む。),中一種免28単位　高一種免24単位,教科教育法（美術）AⅡ,2,○,●,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら75ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
,各教科の指導法(情報機器及び教材の活用を含む。),中一種免28単位　高一種免24単位,教科教育法（美術）BⅠ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら76ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
,各教科の指導法(情報機器及び教材の活用を含む。),中一種免28単位　高一種免24単位,教科教育法（美術）BⅡ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら77ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。