芸術学部　美術学科　デザイン工学科共通,,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考,
専門基礎科目,現代美術演習Ⅰ,0,2,0,1年次,なし,
専門基礎科目,デザイン概論,0,2,0,1年・前期,「デザイン概論」「工芸概論」「色彩論」「図法及び製図」は選択科目ではあるが、デザイン工芸学科の学生は履修する ことが望ましい。,
専門基礎科目,工芸概論,0,2,0,1年・前期,「デザイン概論」「工芸概論」「色彩論」「図法及び製図」は選択科目ではあるが、デザイン工芸学科の学生は履修する ことが望ましい。,
専門基礎科目,絵画材料論,0,2,0,1年・前期,なし,
専門基礎科目,美術解剖学Ⅰ,0,2,0,1年・前期,「美術解剖学Ⅰ」「美術解剖学Ⅱ」は、美術学科彫刻専攻の学生は履修することが望ましい。,
専門基礎科目,美術解剖学Ⅱ,0,2,0,1年・後期,「美術解剖学Ⅰ」「美術解剖学Ⅱ」は、美術学科彫刻専攻の学生は履修することが望ましい。,
専門基礎科目,油絵入門,0,2,0,1年・第4ターム（後期）,なし,
専門基礎科目,日本画入門,0,2,0,1年・第3ターム（後期）,なし,
専門基礎科目,色彩論,0,2,0,1年・後期,「デザイン概論」「工芸概論」「色彩論」「図法及び製図」は選択科目ではあるが、デザイン工芸学科の学生は履修する ことが望ましい。,
専門基礎科目,図法及び製図,0,2,0,2年・後期,「デザイン概論」「工芸概論」「色彩論」「図法及び製図」は選択科目ではあるが、デザイン工芸学科の学生は履修する ことが望ましい。,
専門基礎科目,材料技法演習（木工）,0,1,0,2年・第3ターム（後期）,なし,
専門基礎科目,材料技法演習（塗装）,0,1,0,2年・第4ターム（後期）,なし,
専門基礎科目,現代美術演習Ⅱ,0,2,0,2年次,なし,
専門基礎科目,芸術工学,0,2,0,2年・前期,なし,
専門基礎科目,工芸材料概説,0,2,0,2年・前期,なし,
専門基礎科目,写真／映像概論,0,2,0,2年・前期,なし,
専門基礎科目,西洋美術史Ⅰ,0,2,0,2年・前期,なし,
専門基礎科目,現代美術史Ⅰ,0,2,0,2年・前期,なし,
専門基礎科目,西洋美術史Ⅱ,0,2,0,2年・後期,なし,
専門基礎科目,現代美術史Ⅱ,0,2,0,2年・後期,なし,
専門基礎科目,版画制作演習,0,2,0,2年・後期,なし,
専門基礎科目,絵画論,0,2,0,2年・後期,なし,
専門基礎科目,アートマネージメント概論,0,2,0,2年・後期,【地域貢献特定プログラム】,
専門基礎科目,アーティスト・セルフマネージメント概論,0,2,0,2年・後期,なし,
専門基礎科目,文化財学研究,0,2,0,3年・前期,なし,
専門基礎科目,彫刻概論,0,2,0,3年・前期,美術学科彫刻専攻の学生は、この科目ではなく、専門科目の「彫刻論（古典研究を含む。)」（必修）を履修すること。,
専門基礎科目,美学Ⅰ,0,2,0,3年・前期,なし,
専門基礎科目,日本美術史Ⅰ,0,2,0,3年・前期,なし,
専門基礎科目,東洋美術史Ⅰ,0,2,0,3年・前期,なし,
専門基礎科目,美学Ⅱ,0,2,0,3年・後期,なし,
専門基礎科目,日本美術史Ⅱ,0,2,0,3年・後期,なし,
専門基礎科目,東洋美術史Ⅱ,0,2,0,3年・後期,なし,
専門基礎科目,現代美術論,0,2,0,3年・後期,なし,
専門基礎科目,造形応用研究Ⅰ,0,2,0,1～4年次,【地域貢献特定プログラム】,
専門基礎科目,造形応用研究Ⅱ,0,2,0,2～4年次,【地域貢献特定プログラム】,
専門基礎科目,地域実践演習,0,1,0,3年次,【地域貢献特定プログラム】,
専門基礎科目,芸術と知的財産権,0,1,0,3年・前期,なし,
専門基礎科目,専門演習Ⅰ,0,0,3,1～4年次,特別聴講学生（交換留学生）対象科目です。,
専門基礎科目,専門演習Ⅱ,0,0,3,1～4年次,特別聴講学生（交換留学生）対象科目です。,
専門基礎科目,専門演習Ⅲ,0,0,3,1～4年次,特別聴講学生（交換留学生）対象科目です。,
専門基礎科目,専門演習Ⅳ,0,0,3,1～4年次,特別聴講学生（交換留学生）対象科目です。,