芸術学部　美術学科　彫刻専攻,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考
専門基礎科目,工芸制作A（演習）,0,2,0,2年・前期,なし
専門基礎科目,彫刻実習Ⅰ,8,0,0,1年次,なし
専門基礎科目,デッサン実習Ⅰ,2,0,0,1年次,なし
専門基礎科目,構成演習Ⅰ,2,0,0,1年・前期,なし
専門基礎科目,実材料作基礎演習（工芸制作を含む）,4,0,0,1年・後期,なし
専門基礎科目,彫刻実習ⅡA,6,0,0,2年・前期,なし
専門基礎科目,彫刻実習ⅡB,4,0,0,2年・後期,なし
専門基礎科目,デッサン実習Ⅱ,2,0,0,2年・後期,なし
専門基礎科目,実材料作実習Ⅰ,2,0,0,2年・前期,なし
専門基礎科目,構成実習Ⅱ（平面・立体）,2,0,0,2年・後期,なし
専門基礎科目,彫刻実習ⅢA,6,0,0,3年・前期,なし
専門科目,彫刻実習ⅢB,4,0,0,3年・後期,なし
専門科目,古美術研究（演習）,6,0,0,3年次,なし
専門科目,実材料作実習Ⅱ,2,0,0,3年・後期,なし
専門科目,彫刻論（古典研究を含む）,2,0,0,3年・前期,なし
専門科目,構成実習Ⅲ（立体）,2,0,0,3年・後期,なし
専門科目,デッサン実習Ⅲ,2,0,0,3年・前期,なし
専門科目,彫刻実習Ⅳ,10,0,0,4年次,なし
専門科目,卒業制作,10,0,0,4年次,なし