専門教育科目　芸術学部　美術学科　日本画専攻,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考
専門基礎科目,工芸制作A（演習）,0,2,0,2年・前期,なし
専門科目,日本画実習ⅠA,4,0,0,1年・前期,なし
専門科目,日本画実習ⅠB,4,0,0,1年・後期,なし
専門科目,材料実習Ⅰ,2,0,0,1年・前期,なし
専門科目,デッサン実習Ⅰ,2,0,0,1年・後期,なし
専門科目,構成演習Ⅰ（平面）,2,0,0,1年・後期,なし
専門科目,日本画実習ⅡA,6,0,0,2年・前期,なし
専門科目,日本画実習ⅡB,4,0,0,2年・後期,なし
専門科目,デッサン実習Ⅱ,2,0,0,2年・前期,なし
専門科目,構成演習Ⅱ（平面）,1,0,0,2年・後期,なし
専門科目,材料実習Ⅱ（金属材料）,2,0,0,2年・後期,なし
専門科目,彫塑演習,2,0,0,2年・後期,なし
専門科目,日本画実習ⅢA,6,0,0,3年・前期,なし
専門科目,日本画実習ⅢB,4,0,0,3年・後期,なし
専門科目,古美術研究（演習）,6,0,0,3年次,なし
専門科目,デッサン実習Ⅲ,2,0,0,3年・後期,なし
専門科目,材料実習Ⅲ,2,0,0,3年・前期,なし
専門科目,構成実習（平面）,2,0,0,3年・後期,なし
専門科目,日本画実習Ⅳ,10,0,0,4年次,なし
専門科目,絵画論演習,2,0,0,4年・前期,なし
専門科目,技法演習（裏打技法）,2,0,0,4年・後期,なし
専門科目,卒業制作（演習）,9,0,0,4年・後期,なし