4. 教育職員免許法施行規則第66条の6に定める科目,,,,,
免許法施行規則に定める科目区分等,免許法施行規則に定める科目区分等,,,,
科目区分,最低取得単位数,左記に対応する開設授業科目の名称,単位数,開設年次及び学期,備考
日本国憲法,2,法学(日本国憲法),2,1・2年前後期,国際学部、芸術学部のみ履修可　※「教科及び教科の指導法に関する科目」又は「教育の基礎的理解に関する科目等」において、最低修得単位数を超えて修得した単位は「大学が独自に設定する科目」に算入することができる
体育,2,健康科学,2,1年・前期,左記の3科目から2単位以上
体育,2,体育実技 I,1,1年・前期,左記の3科目から3単位以上
体育,2,体育実技 II,1,1年・後期,左記の3科目から4単位以上
外国語コミュニケーション,2,CALL英語集中 I,1,1年・前期,国際学部
外国語コミュニケーション,2,CALL英語集中 II,1,1年・後期,国際学部
外国語コミュニケーション,2,英語応用演習 I,1,1年・前期,国際学部
外国語コミュニケーション,2,英語応用演習 II,1,1年・後期,国際学部
情報機器の操作,2,情報活用基礎,2,1年・前期,