専門教育科目　国際学部　国際学科,,,,,,
専門科目　5プログラム科目　多文化共生プログラム,美術史(現代)Ⅰ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,美術史(現代)Ⅱ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　多文化共生プログラム,Future Studies Ⅱ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　多文化共生プログラム,Exploring Japanese Society ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際ビジネス入門,0,2,0,1年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,会計学Ⅰ,0,2,0,1年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,International Commerce,0,2,0,1年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,会計学Ⅱ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,経営戦略論,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,人的資源管理論,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際経営論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際経営論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,マーケティング論Ⅰ,0,2,0,2年・前期,公共※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。【地域貢献特定プログラム】
専門科目　5プログラム科目　国際ビジネスプログラム,マーケティング論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,多国籍企業論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,多国籍企業論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,財務管理論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,財務管理論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,経営史,0,2,0,2年・後期,【地域貢献特定プログラム】
専門科目　5プログラム科目　国際ビジネスプログラム,公会計論,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際会計論,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,経営組織論,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,International Business,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,Introdution to Management,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際貿易論,0,2,0,3年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際金融論Ⅰ,0,2,0,3年・前期,公共※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。【地域貢献特定プログラム】
専門科目　5プログラム科目　国際ビジネスプログラム,国際金融論Ⅱ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際ビジネス法務Ⅰ,0,2,0,3年・前期,公共※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。【地域貢献特定プログラム】
専門科目　5プログラム科目　国際ビジネスプログラム,国際ビジネス法務Ⅱ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,テクノロジーマネジメント,0,2,0,3年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,言語・コミュニケーション研究入門A,0,1,0,1年・第3ターム(後期),なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,言語・コミュニケーション研究入門B,0,1,0,1年・第4ターム(後期),なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,フランスの文学と文化,0,2,0,2年・前期,多文化※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　言語・コミュニケーションプログラム,応用言語論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,応用言語論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,日本語学・日本語教育学Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,日本語学・日本語教育学Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,翻訳論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,翻訳論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,言語比較論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,言語比較論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,通訳技法論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,通訳技法論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,コミュニケーション技法論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,コミュニケーション技法論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,イギリスの文学と文化Ⅰ,0,2,0,2年・前期,多文化※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　言語・コミュニケーションプログラム,イギリスの文学と文化Ⅱ,0,2,0,2年・後期,多文化※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　言語・コミュニケーションプログラム,Cross-cultural Language and CommunicationⅠ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,Cross-cultural Language and CommunicationⅡ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,英文法論,0,2,0,3年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,英米文学概論Ⅰ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,時事英語,0,2,0,3年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,英語学概論Ⅰ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,英語学概論Ⅱ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,英文構成法Ⅰ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,英文構成法Ⅱ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,英米文学概論Ⅱ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,英語聴解法 ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,Special Lecture in British and American LiteratureⅠ,0,2,0,3年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,Special Lecture in British and American LiteratureⅡ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,Communication in EnglishⅠ,0,1,0,3年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,Communication in EnglishⅡ,0,1,0,3年・後期,なし
専門科目　5プログラム科目　5プログラム共通科目(地域研究),データ分析Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　5プログラム共通科目(地域研究),データ分析Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　5プログラム共通科目(地域研究),日本政治論,0,2,0,2年・前期,提供元プログラム　政治
専門科目　5プログラム科目　5プログラム共通科目(地域研究),国際日本学,0,2,0,3年・前期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),日本文化史Ⅰ,0,2,0,1年・後期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),日本文化史Ⅱ,0,2,0,2年・前期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),Modern Japanese Studies,0,2,0,2年・後期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),東北アジア政治論Ⅰ,0,1,0,1年・第3ターム(後期),提供元プログラム　政治
専門科目　5プログラム科目　5プログラム共通科目(地域研究),東北アジア政治論Ⅱ,0,1,0,1年・第4ターム(後期),提供元プログラム　政治
専門科目　5プログラム科目　5プログラム共通科目(地域研究),東南アジア研究,0,2,0,2年・後期,提供元プログラム　政治
専門科目　5プログラム科目　5プログラム共通科目(地域研究),東アジア研究,0,2,0,3年・前期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),中国文化論Ⅰ,0,2,0,2年・前期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),中国文化論Ⅱ,0,2,0,2年・後期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),アメリカ政治論i,0,1,0,2年・第3ターム(後期),提供元プログラム　政治
専門科目　5プログラム科目　5プログラム共通科目(地域研究),アメリカ政治論ii,0,1,0,2年・第4ターム(後期),提供元プログラム　政治
専門科目　5プログラム科目　5プログラム共通科目(地域研究),American CultureⅠ,0,2,0,2年・前期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),American CultureⅡ,0,2,0,2年・後期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),ラテンアメリカ研究Ⅰ,0,2,0,3年・前期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),ラテンアメリカ研究Ⅱ,0,2,0,3年・後期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),ヨーロッパ政治論,0,2,0,2年・前期,提供元プログラム　政治
専門科目　5プログラム科目　5プログラム共通科目(地域研究),イギリス文化論Ⅰ,0,2,0,2年・前期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),イギリス文化論Ⅱ,0,2,0,2年・後期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),フランス文化論,0,2,0,2年・後期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),Études de la société française,0,2,0,3年・前期,提供元プログラム　公共
専門科目　5プログラム科目　5プログラム共通科目(地域研究),Gesellschaft in Deutschland,0,2,0,3年・後期,提供元プログラム　公共
専門科目　5プログラム科目　5プログラム共通科目(地域研究),ロシア研究,0,2,0,1年・後期,提供元プログラム　政治
専門科目　5プログラム科目　5プログラム共通科目(地域研究),中東アラブ研究入門,0,2,0,1年・後期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),中東アラブ研究,0,2,0,2年・前期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),アフリカ研究Ⅰ,0,2,0,1年・後期,提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),アフリカ研究Ⅱ-i,0,1,0,2年・第1ターム(前期),提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),アフリカ研究Ⅱ-ii,0,1,0,2年・第2ターム(前期),提供元プログラム　多文化
専門科目　5プログラム科目　5プログラム共通科目(地域研究),African Societies and Development,0,2,0,3年・前期,提供元プログラム　公共
専門科目　アクティブ科目　国際交流,国際研究特講Ⅰ,,2,,全学年,なし
専門科目　アクティブ科目　国際交流,国際研究特講Ⅱ,,2,,全学年,なし
専門科目　アクティブ科目　国際交流,海外短期語学留学(ハワイ),,2,,全学年,なし
専門科目　アクティブ科目　国際交流,海外短期語学留学(オルレアン),,4,,全学年,なし
専門科目　アクティブ科目　国際交流,海外短期語学留学(モスクワ),,2,,全学年,なし
専門科目　アクティブ科目　国際交流,海外短期語学留学(西南),,2,,全学年,なし
専門科目　アクティブ科目　国際交流,HIROSHIMA and PEACE,,4,,2・3・4年次,なし
専門科目　アクティブ科目　インターンシップ,企業インターンシップ,,2,,2・3・4年次,なし
専門科目　アクティブ科目　インターンシップ,学校インターンシップ,,2,,2・3・4年次,なし
専門科目　アクティブ科目　インターンシップ,学部派遣海外インターンシップ,,2,,2・3・4年次,なし
専門科目　アクティブ科目　インターンシップ,公的機関インターンシップ,,2,,2・3・4年次,なし
専門科目　アクティブ科目　演習,専門演習Ⅰ,1,,,3年次,専門演習について 専門演習の分野から2単位以上（演習Ⅰと演習Ⅱを各1単位以上）を履修すること。 「専門演習Ⅰ」は前期履修を、「専門演習Ⅱ」は後期履修を原則とし、事前に指導教員の許可があった場合、「専門演習Ⅰ」の後期履修又は「専門演習Ⅱ」の前期履修が認められる。
専門科目　アクティブ科目　演習,専門演習Ⅱ,1,,,3年次,専門演習について 専門演習の分野から2単位以上（演習Ⅰと演習Ⅱを各1単位以上）を履修すること。 「専門演習Ⅰ」は前期履修を、「専門演習Ⅱ」は後期履修を原則とし、事前に指導教員の許可があった場合、「専門演習Ⅰ」の後期履修又は「専門演習Ⅱ」の前期履修が認められる。
専門科目　アクティブ科目　演習,卒論演習Ⅰ,1,,,4年次,なし
専門科目　アクティブ科目　演習,卒論演習Ⅱ,1,,,4年次,なし
専門科目　特別演習・特別講義,特別演習Ⅰ,,1,,4年次,特別演習について 「特別演習Ⅰ」、「特別演習Ⅱ」は、事前に指導教員の許可があった場合に履修が認められる。また、一定の条件のもとに「アクティブ科目」への加算が認められる。
専門科目　特別演習・特別講義,特別演習Ⅱ,,1,,4年次,特別演習について 「特別演習Ⅰ」、「特別演習Ⅱ」は、事前に指導教員の許可があった場合に履修が認められる。また、一定の条件のもとに「アクティブ科目」への加算が認められる。
専門科目　特別演習・特別講義,特別演習Ⅲ,,1,,4年次,なし
専門科目　特別演習・特別講義,特別演習Ⅳ,,1,,4年次,なし
専門科目　特別演習・特別講義,特別講義Ⅰ,,2,,4年次,なし
専門科目　特別演習・特別講義,特別講義Ⅱ,,2,,4年次,なし
専門科目　卒業論文,卒業論文,4,,,4年次,卒業論文着手要件 広島市立大学履修規程第8条に規定する「学長が別に定める要件を満たす」者とは、国際学部においては、次の各号のいずれかに該当する者とする。 次に掲げる条件を満たす者。 卒業の要件となる128単位のうち、90単位以上を修得していること。 教授会で認められた者。