専門教育科目　芸術学部　デザイン工芸学科,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考
専門基礎科目,工芸制作B（演習）,0,2,0,2年・前期,なし
専門基礎科目,造形実習ⅠA,4,0,0,1年・前期,なし
専門基礎科目,描出実習Ⅰ,2,0,0,1年・後期,なし
専門基礎科目,造形実習ⅠB,4,0,0,1年・後期,なし
専門基礎科目,形体演習Ⅰ,2,0,0,1年・前期,なし
専門基礎科目,総合表現研究（演習）,2,0,0,2年次,なし
専門基礎科目,造形実習ⅡA,6,0,0,2年・前期,なし
専門基礎科目,形体演習Ⅱ,2,0,0,2年・前期,なし
専門基礎科目,造形実習ⅡB,6,0,0,2年・後期,なし
専門基礎科目,描出実習Ⅱ,2,0,0,2年・後期,なし
専門科目,古美術研究（演習）,4,0,0,3年次,なし
専門科目,テーマ研究（演習）,6,0,0,3年次,なし
専門科目,造形実習ⅢA,6,0,0,3年・前期,なし
専門科目,造形実習ⅢB,6,0,0,3年・後期,なし
専門科目,造形研究（演習）,12,0,0,4年・前期,なし
専門科目,卒業制作（演習）,12,0,0,4年・後期,なし