専門教育科目　芸術学部　美術学科　油絵専攻,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考
専門基礎科目,工芸制作A（演習）,0,2,0,2年・前期,なし
専門科目,油絵基礎演習,2,0,0,1年・前期,なし
専門科目,デッサン実習Ⅰ,4,0,0,1年・前期,なし
専門科目,構成演習Ⅰ,2,0,0,1年・前期,なし
専門科目,油絵実習Ⅰ,4,0,0,1年・後期,なし
専門科目,彫塑演習,2,0,0,1年・後期,なし
専門科目,版画制作実習Ⅰ,3,0,0,1年・後期,なし
専門科目,油絵実習ⅡA,5,0,0,2年・前期,なし
専門科目,版画制作実習Ⅱ,3,0,0,2年・前期,なし
専門科目,学外演習,2,0,0,2年・後期,なし
専門科目,油絵実習ⅡB,2,0,0,2年・後期,なし
専門科目,デッサン実習Ⅱ,2,0,0,2年・後期,なし
専門科目,構成演習Ⅱ,2,0,0,2年・後期,なし
専門科目,油絵材料・技法演習（古典技法）,2,0,0,2年・後期,なし
専門科目,古美術研究（演習）,6,0,0,3年次,なし
専門科目,構成演習Ⅲ,2,0,0,3年・前期,なし
専門科目,油絵実習ⅢA,6,0,0,3年・前期,なし
専門科目,デッサン実習Ⅲ,2,0,0,3年・後期,なし
専門科目,油絵実習ⅢB,6,0,0,3年・後期,なし
専門科目,油絵実習ⅣA,6,0,0,4年・前期,なし
専門科目,卒業制作A（演習）,4,0,0,4年・前期,なし
専門科目,油絵実習ⅣB,6,0,0,4年・後期,なし
専門科目,卒業制作B（演習）,4,0,0,4年・後期,なし