専門教育科目　情報科学部　知能工学科,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,source_file,専門教育科目　情報科学部　情報工学科,専門教育科目　情報科学部　システム工学科
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考,情報科学部知能工学科.csv,,
専門科目,オートマトンと形式言語,2,,,2年・前期,なし,情報科学部知能工学科.csv,,
専門科目,常微分方程式,,2,,2年・前期,教職課程登録者のみ履修登録可,情報科学部知能工学科.csv,,
専門科目,観光情報学,,2,,2年・前期,【地域貢献特定プログラム科目】,情報科学部知能工学科.csv,,
専門科目,高度プログラミングA,,1,,2年・前期,なし,情報科学部知能工学科.csv,,
専門科目,高度プログラミングB,,1,,2年・前期,なし,情報科学部知能工学科.csv,,
専門科目,高度プログラミングC,,1,,2年・前期,なし,情報科学部知能工学科.csv,,
専門科目,高度プログラミングD,,1,,2年・前期,なし,情報科学部知能工学科.csv,,
専門科目,数理計画法,,2,,2年・後期,なし,情報科学部知能工学科.csv,,
専門科目,数理論理学,,2,,2年・後期,なし,情報科学部知能工学科.csv,,
専門科目,コンピュータグラフィックスⅠ,,2,,2年・後期,なし,情報科学部知能工学科.csv,,
専門科目,プログラミングⅢ,,2,,2年・後期,なし,情報科学部知能工学科.csv,,
専門科目,プログラミングⅢ演習,,1,,2年・後期,なし,情報科学部知能工学科.csv,,
専門科目,グラフ理論,,2,,2年・後期,なし,情報科学部知能工学科.csv,,
専門科目,オペレーティングシステム,,2,,2年・後期,なし,情報科学部知能工学科.csv,,
専門科目,ディジタル信号処理,,2,,2年・後期,なし,情報科学部知能工学科.csv,,
専門科目,数値解析,,2,,2年・後期,なし,情報科学部知能工学科.csv,,
専門科目,情報システム開発,,2,,2年・後期,なし,情報科学部知能工学科.csv,,
専門科目,ソフトウェア工学概説,,2,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,技術者倫理,,2,,2〜4年次・前期,なし,情報科学部知能工学科.csv,,
専門科目,情報と職業,,2,,2〜4年次・前期,なし,情報科学部知能工学科.csv,,
専門科目,知的財産権,,2,,2〜4年次・前期,なし,情報科学部知能工学科.csv,,
専門科目,インターンシップ,,2,,2〜4年次,【地域貢献特定プログラム科目】,情報科学部知能工学科.csv,,
専門科目,情報理論,,2,,3年・前期,なし,情報科学部知能工学科.csv,,
専門科目,記号処理プログラミング,,2,,3年・前期,なし,情報科学部知能工学科.csv,,
専門科目,データベース,,2,,3年・前期,なし,情報科学部知能工学科.csv,,
専門科目,人工知能,,2,,3年・前期,なし,情報科学部知能工学科.csv,,
専門科目,技術英語演習Ⅰ,1,,,3年・前期,なし,情報科学部知能工学科.csv,,
専門科目,知能工学実験Ⅰ,1.5,,,3年・前期,なし,情報科学部知能工学科.csv,,
専門科目,知能工学実験Ⅱ,1.5,,,3年・前期,なし,情報科学部知能工学科.csv,,
専門科目,コンパイラ,,2,,3年・前期,なし,情報科学部知能工学科.csv,,
専門科目,計算論,,2,,3年・前期,なし,情報科学部知能工学科.csv,,
専門科目,コンピュータグラフィックスⅡ,,2,,3年・前期,なし,情報科学部知能工学科.csv,,
専門科目,パターン認識,,2,,3年・前期,なし,情報科学部知能工学科.csv,,
専門科目,情報検索,,2,,3年・前期,なし,情報科学部知能工学科.csv,,
専門科目,医用データサイエンス,,2,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,自然言語処理,,2,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,医用画像処理,,2,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,データマイニング,,2,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,バイオインフォマティクスⅠ,,1,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,バイオインフォマティクスⅡ,,1,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,技術英語演習Ⅱ,1,,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,知能工学実験Ⅲ,1.5,,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,知能工学実験Ⅳ,1.5,,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,機械学習,,2,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,感性情報処理,,2,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,画像情報処理,,2,,3年・後期,なし,情報科学部知能工学科.csv,,
専門科目,地域実践演習,,1,,3年次,【地域貢献特定プログラム科目】,情報科学部知能工学科.csv,,
専門科目,プレゼンテーション技法,1,,,4年次,卒業研究等履修要件 (1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部知能工学科.csv,,
専門科目,技術英語演習Ⅲ,1,,,4年次,卒業研究等履修要件 (1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部知能工学科.csv,,
専門科目,技術文書作成法,1,,,4年次,卒業研究等履修要件 (1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部知能工学科.csv,,
専門科目,卒業研究Ⅰ,4,,,4年次,卒業研究等履修要件 (1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部知能工学科.csv,,
専門科目,卒業研究Ⅱ,4,,,4年次,卒業研究等履修要件 (1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部知能工学科.csv,,
,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考,情報科学部情報工学科.csv,科目区分,
,プログラミングⅢ,0,2,0,2年・前期,なし,情報科学部情報工学科.csv,専門科目,
,常微分方程式,0,2,0,2年・前期,教職課程登録者のみ履修登録可,情報科学部情報工学科.csv,専門科目,
,観光情報学,0,2,0,2年・前期,【地域貢献特定プログラム科目】,情報科学部情報工学科.csv,専門科目,
,高度プログラミングA,0,1,0,2年・前期,なし,情報科学部情報工学科.csv,専門科目,
,高度プログラミングB,0,1,0,2年・前期,なし,情報科学部情報工学科.csv,専門科目,
,高度プログラミングC,0,1,0,2年・前期,なし,情報科学部情報工学科.csv,専門科目,
,高度プログラミングD,0,1,0,2年・前期,なし,情報科学部情報工学科.csv,専門科目,
,デジタルデザイン,0,2,0,2年・後期,なし,情報科学部情報工学科.csv,専門科目,
,オペレーティングシステム,0,2,0,2年・後期,なし,情報科学部情報工学科.csv,専門科目,
,ネットワークプロトコル,0,2,0,2年・後期,なし,情報科学部情報工学科.csv,専門科目,
,コンピュータグラフィックスⅠ,0,2,0,2年・後期,教職課程登録者のみ履修登録可,情報科学部情報工学科.csv,専門科目,
,コンピュータアーキテクチャ,0,2,0,2年・後期,なし,情報科学部情報工学科.csv,専門科目,
,物理学,0,2,0,2年・後期,なし,情報科学部情報工学科.csv,専門科目,
,情報システム開発,0,2,0,2年・後期,なし,情報科学部情報工学科.csv,専門科目,
,最適化技法,0,2,0,2年・後期,なし,情報科学部情報工学科.csv,専門科目,
,技術者倫理,0,2,0,2〜4年次・前期,なし,情報科学部情報工学科.csv,専門科目,
,情報と職業,0,2,0,2〜4年次・前期,なし,情報科学部情報工学科.csv,専門科目,
,知的財産権,0,2,0,2〜4年次・前期,なし,情報科学部情報工学科.csv,専門科目,
,インターンシップ,0,2,0,2〜4年次,【地域貢献特定プログラム科目】,情報科学部情報工学科.csv,専門科目,
,情報セキュリティ応用,0,2,0,3年・前期,なし,情報科学部情報工学科.csv,専門科目,
,データベース,0,2,0,3年・前期,なし,情報科学部情報工学科.csv,専門科目,
,テクニカルコミュニケーション演習,1,0,0,3年・前期,なし,情報科学部情報工学科.csv,専門科目,
,情報工学実験Ⅰ,1.5,0,0,3年・前期,なし,情報科学部情報工学科.csv,専門科目,
,情報工学実験Ⅱ,1.5,0,0,3年・前期,なし,情報科学部情報工学科.csv,専門科目,
,ネットワーク設計,0,2,0,3年・前期,なし,情報科学部情報工学科.csv,専門科目,
,コンピュータシステム,0,2,0,3年・前期,なし,情報科学部情報工学科.csv,専門科目,
,ネットワーク基盤技術,0,2,0,3年・前期,なし,情報科学部情報工学科.csv,専門科目,
,情報理論,0,2,0,3年・前期,なし,情報科学部情報工学科.csv,専門科目,
,医用データサイエンス,0,2,0,3年・前期,なし,情報科学部情報工学科.csv,専門科目,
,テクニカルR&W演習,1,0,0,3年・後期,なし,情報科学部情報工学科.csv,専門科目,
,リコンフィギャラブルコンピューティング,0,2,0,3年・後期,なし,情報科学部情報工学科.csv,専門科目,
,分散システム,0,2,0,3年・後期,なし,情報科学部情報工学科.csv,専門科目,
,ネットワークソフトウェア,0,2,0,3年・後期,なし,情報科学部情報工学科.csv,専門科目,
,センサシステム,0,2,0,3年・後期,なし,情報科学部情報工学科.csv,専門科目,
,情報工学実験Ⅲ,1.5,0,0,3年・後期,なし,情報科学部情報工学科.csv,専門科目,
,情報工学実験Ⅳ,1.5,0,0,3年・後期,なし,情報科学部情報工学科.csv,専門科目,
,画像情報処理,0,2,0,3年・後期,教職課程登録者のみ履修登録可,情報科学部情報工学科.csv,専門科目,
,設計最適化手法,0,2,0,3年・後期,なし,情報科学部情報工学科.csv,専門科目,
,信頼性工学,0,2,0,3年・後期,なし,情報科学部情報工学科.csv,専門科目,
,ワイヤレスネットワーク,0,2,0,3年・後期,なし,情報科学部情報工学科.csv,専門科目,
,トラフィック分析,0,2,0,3年・後期,なし,情報科学部情報工学科.csv,専門科目,
,デジタル信号処理,0,2,0,3年・後期,なし,情報科学部情報工学科.csv,専門科目,
,地域実践演習,0,1,0,3年次,【地域貢献特定プログラム科目】,情報科学部情報工学科.csv,専門科目,
,プレゼンテーション技法,1,0,0,4年次,卒業研究等履修要件 (1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部情報工学科.csv,専門科目,
,技術文書作成法,1,0,0,4年次,卒業研究等履修要件 (1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部情報工学科.csv,専門科目,
,卒業研究Ⅰ,4,0,0,4年次,卒業研究等履修要件 (1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部情報工学科.csv,専門科目,
,卒業研究Ⅱ,4,0,0,4年次,卒業研究等履修要件 (1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部情報工学科.csv,専門科目,
,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考,情報科学部システム工学科.csv,,科目区分
,常微分方程式,0,2,0,2年・前期,なし,情報科学部システム工学科.csv,,専門科目
,観光情報学,0,2,0,2年・前期,【地域貢献特定プログラム科目】,情報科学部システム工学科.csv,,専門科目
,高度プログラミングA,0,1,0,2年・前期,なし,情報科学部システム工学科.csv,,専門科目
,高度プログラミングB,0,1,0,2年・前期,なし,情報科学部システム工学科.csv,,専門科目
,高度プログラミングC,0,1,0,2年・前期,なし,情報科学部システム工学科.csv,,専門科目
,高度プログラミングD,0,1,0,2年・前期,なし,情報科学部システム工学科.csv,,専門科目
,電気回路,0,2,0,2年・前期,なし,情報科学部システム工学科.csv,,専門科目
,プログラミングⅢ,0,2,0,2年・前期,なし,情報科学部システム工学科.csv,,専門科目
,プログラミングⅢ演習,0,1,0,2年・前期,なし,情報科学部システム工学科.csv,,専門科目
,物理学,0,2,0,2年・前期,なし,情報科学部システム工学科.csv,,専門科目
,情報理論,0,2,0,2年・前期,なし,情報科学部システム工学科.csv,,専門科目
,応用幾何学,0,2,0,2年・後期,なし,情報科学部システム工学科.csv,,専門科目
,情報システム開発,0,2,0,2年・後期,なし,情報科学部システム工学科.csv,,専門科目
,機械力学,0,2,0,2年・後期,なし,情報科学部システム工学科.csv,,専門科目
,電子回路,0,2,0,2年・後期,なし,情報科学部システム工学科.csv,,専門科目
,コンピュータグラフィックス,0,2,0,2年・後期,なし,情報科学部システム工学科.csv,,専門科目
,離散時間システム,0,2,0,2年・後期,なし,情報科学部システム工学科.csv,,専門科目
,オペレーティングシステム,0,2,0,2年・後期,なし,情報科学部システム工学科.csv,,専門科目
,数値計算法,0,2,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,知的財産権,0,2,0,2〜4年・前期,なし,情報科学部システム工学科.csv,,専門科目
,情報と職業,0,2,0,2〜4年・前期,なし,情報科学部システム工学科.csv,,専門科目
,技術者倫理,0,2,0,2〜4年・前期,なし,情報科学部システム工学科.csv,,専門科目
,インターシップ,0,2,0,2〜4年次,【地域貢献特定プログラム科目】,情報科学部システム工学科.csv,,専門科目
,システム工学実験Ⅰ,1.5,0,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,システム工学実験Ⅱ,1.5,0,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,メカトロニクス,0,2,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,制御工学Ⅰ,0,2,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,ロボティクスⅠ,0,2,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,最適化手法,0,2,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,ディジタル無線通信,0,2,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,外書購読演習Ⅰ,1,0,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,情報代数学,0,2,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,確率課程論,0,2,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,データベース,0,2,0,3年・前期,教職課程登録者のみ履修登録可,情報科学部システム工学科.csv,,専門科目
,ヒューマンインタフェースⅠ,0,2,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,医用データサイエンス,0,2,0,3年・前期,なし,情報科学部システム工学科.csv,,専門科目
,ヒューマンインタフェースⅡ,0,2,0,3年・後期,なし,情報科学部システム工学科.csv,,専門科目
,ソフトウェア工学概論,0,2,0,3年・後期,なし,情報科学部システム工学科.csv,,専門科目
,画像情報処理,0,2,0,3年・後期,なし,情報科学部システム工学科.csv,,専門科目
,制御工学Ⅱ,0,2,0,3年・後期,なし,情報科学部システム工学科.csv,,専門科目
,偏微分方程式,0,2,0,3年・後期,なし,情報科学部システム工学科.csv,,専門科目
,ロボティクスⅡ,0,2,0,3年・後期,なし,情報科学部システム工学科.csv,,専門科目
,パターン認識,0,2,0,3年・後期,なし,情報科学部システム工学科.csv,,専門科目
,情報セキュリティ応用,0,2,0,3年・後期,なし,情報科学部システム工学科.csv,,専門科目
,ソフトコンピューティング,0,2,0,3年・後期,なし,情報科学部システム工学科.csv,,専門科目
,システム工学実験Ⅲ,1.5,0,0,3年・後期,なし,情報科学部システム工学科.csv,,専門科目
,システム工学実験Ⅳ,1.5,0,0,3年・後期,なし,情報科学部システム工学科.csv,,専門科目
,外書購読演習Ⅱ,1,0,0,3年・後期,なし,情報科学部システム工学科.csv,,専門科目
,地域実践演習,0,1,0,3年次,【地域貢献特定プログラム科目】,情報科学部システム工学科.csv,,専門科目
,プレゼンテーション技法,1,0,0,4年次,(1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部システム工学科.csv,,専門科目
,技術文書作成法,1,0,0,4年次,(1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部システム工学科.csv,,専門科目
,卒業研究Ⅰ,4,0,0,4年次,(1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部システム工学科.csv,,専門科目
,卒業研究Ⅱ,4,0,0,4年次,(1)　卒業研究Ⅰ、卒業研究Ⅱはともに履修期間はそれぞれ半期である。 (2)　卒業研究Ⅰ、卒業研究Ⅱはともに前後期いずれの学期においても履修は可能であるが、卒業研究Ⅱについては、卒業研究Ⅰの単位修得者にのみ履修が認められる。 (3)　プレゼンテーション技法、技術文書作成法はともに履修期間はそれぞれ半期である。 (4)　原則として、プレゼンテーション技法は卒業研究Ⅰと同じ履修期に、技術文書作成法は卒業研究Ⅱと同じ履修期に履修すること。,情報科学部システム工学科.csv,,専門科目
